(PDH-CSV 4.0) (India Standard Time)(-330),Available MBytes,Processor Time,KBytes Total,HighCPU,HighRAM,NoNetwork
03:03.5,1429,53.61320723,109.4100872,0,0,0
03:04.5,1421,50.91368985,64.77047108,0,0,0
03:05.5,1410,50.96498271,36.80954845,0,0,0
03:06.5,1401,50.76218641,9.301843411,0,0,0
03:07.5,1390,51.44722682,8.337522131,0,0,0
03:08.5,1383,53.01644534,24.82569821,0,0,0
03:09.5,1377,51.25456454,23.34912285,0,0,0
03:10.5,1368,53.17289664,16.52622009,0,0,0
03:11.5,1355,52.60325746,11.36756239,0,0,0
03:12.5,1341,51.3526414,5.717769739,0,0,0
03:13.5,1331,52.13727118,8.518185582,0,0,0
03:14.5,1316,50.86769101,24.24911966,0,0,0
03:15.5,1299,51.00961261,14.44748884,0,0,0
03:16.5,1290,53.57577338,8.680984846,0,0,0
03:17.5,1280,52.87450107,22.78529605,0,0,0
03:18.5,1245,51.00961261,19.9537183,0,0,0
03:19.5,1225,51.69283271,25.8044936,0,0,0
03:20.5,1174,51.30326128,18.10678853,0,0,0
03:21.5,1145,51.69283271,17.22886173,0,0,0
03:22.5,1103,52.1302261,27.7184043,0,0,0
03:23.5,1047,52.08240415,14.21372904,0,0,0
03:24.5,938,51.40153321,8.538974384,0,0,0
03:25.5,911,52.08240415,10.41954473,0,0,0
03:26.5,954,50.96267818,16.56851215,0,0,0
03:27.5,952,50.86769101,47.44391362,0,0,0
03:28.5,954,51.79345382,21.38608731,0,0,0
03:29.5,952,54.12194573,40.39686782,0,0,0
03:30.5,844,53.70654081,28.56938771,0,0,0
03:31.5,813,55.10931389,29.41479874,0,0,0
03:32.5,768,37.68422153,19.98317553,0,0,0
03:33.5,724,43.06532347,42.70215642,0,0,0
03:34.5,722,48.85094331,55.30413591,0,0,0
03:35.5,721,41.72060226,19.26633861,0,0,0
03:36.5,693,50.9626682,8.42070003,0,0,0
03:37.5,676,52.4817911,12.35214816,0,0,0
03:38.5,669,51.30326128,11.21907316,0,0,0
03:39.5,671,51.25456204,6.930794946,0,0,0
03:40.5,667,51.74104346,9.814172347,0,0,0
03:41.5,665,51.01348421,15.35780375,0,0,0
03:42.5,713,50.41836886,25.82983701,0,0,0
03:43.5,714,60.10402972,20.37177017,0,0,0
03:44.5,688,51.64143308,17.75036805,0,0,0
03:45.5,667,51.3526414,34.28737739,0,0,0
03:46.5,664,51.30286773,20.44116108,0,0,0
03:47.5,667,53.70655087,17.49813037,0,0,0
03:48.5,665,50.86769101,14.82246823,0,0,0
03:49.5,664,51.84661696,31.54947852,0,0,0
03:50.5,664,51.25455454,32.30541089,0,0,0
03:51.5,707,48.26227278,27.27656384,0,0,0
03:52.5,706,51.30326128,24.72185942,0,0,0
03:53.5,704,52.1302261,14.70704585,0,0,0
03:54.5,703,50.22576134,18.03015314,0,0,0
03:55.5,705,51.25456454,31.49351377,0,0,0
03:56.5,703,51.74104346,18.80045822,0,0,0
03:57.5,695,51.35186082,20.72948914,0,0,0
03:58.5,675,52.03448655,56.42851896,0,0,0
03:59.5,612,76.54065954,36.64977397,0,0,0
04:00.5,576,99.60288085,20.35463186,1,0,0
04:01.5,545,96.88029197,21.46087716,1,0,0
04:02.5,548,28.53258499,41.97982156,0,0,0
04:03.5,557,77.45647342,68.77618495,0,0,0
04:04.5,345,87.80172814,92.10097849,1,1,0
04:05.5,21,96.84877977,186.1734077,1,1,0
04:06.5,0,26.78395815,110.8245261,0,1,0
04:07.5,10,9.191973948,88.53970787,0,1,0
04:08.5,5,38.95884589,83.47547488,0,1,0
04:09.5,10,23.7868971,21.46854467,0,1,0
04:10.5,28,15.03807451,41.29633283,0,1,0
04:11.5,3,33.96409858,72.91052518,0,1,0
04:12.5,9,5.911093836,1030.398794,0,1,0
04:14.5,22,24.91629869,16.25404842,0,1,0
04:15.5,42,12.17038456,10.64515284,0,1,0
04:16.5,47,1.630827908,9.560551691,0,1,0
04:17.5,49,0.393934965,345.8334229,0,1,0
04:18.5,60,3.289051095,15.90828229,0,1,0
04:19.5,70,2.3137566,40.9409281,0,1,0
04:20.5,80,3.197752879,394.6525342,0,1,0
04:21.5,89,2.994158296,32.39679165,0,1,0
04:22.5,98,1.42916222,27.82137508,0,1,0
04:23.5,105,38.42681273,18.22311796,0,1,0
04:24.5,110,8.197731535,25.5834631,0,1,0
04:25.5,120,25.90692931,21.38677861,0,1,0
04:26.5,125,26.20213078,13.83146019,0,1,0
04:27.5,136,25.1114789,18.53079086,0,1,0
04:28.5,147,26.95548169,20.39653694,0,1,0
04:29.5,155,25.11148885,14.62427184,0,1,0
04:30.5,85,42.89400548,16.13258166,0,1,0
04:32.5,133,12.56073592,18.36780918,0,1,0
04:33.5,123,5.475183155,29.52036126,0,1,0
04:34.5,132,0.159943845,6.108510289,0,1,0
04:35.5,145,0.843453343,13.63267565,0,1,0
04:36.5,142,4.056598308,11.81937254,0,1,0
04:38.5,142,1.726062334,7.216122923,0,1,0
04:39.5,151,1.196279375,6.487825959,0,1,0
04:40.5,156,3.295335789,5.670579295,0,1,0
04:41.5,155,1.732306849,28.29516888,0,1,0
04:42.5,159,0.459763833,47.02868401,0,1,0
04:43.5,168,1.732306849,43.44210201,0,1,0
04:44.5,167,1.830085648,38.83956156,0,1,0
04:45.5,171,3.683707934,31.85396362,0,1,0
04:46.5,169,1.433497573,15.63291779,0,1,0
04:47.5,173,2.606137396,19.88188203,0,1,0
04:48.5,174,0.843443294,7.851410192,0,1,0
04:49.5,186,1.925346388,8.362988687,0,1,0
04:50.5,195,0.836727629,8.493771609,0,1,0
04:52.5,402,11.47829217,4.375023131,0,0,0
04:54.5,401,1.732301869,16.73495145,0,0,0
04:55.5,411,1.480841368,18.2797401,0,0,0
04:56.5,412,1.152399671,12.57210143,0,0,0
04:57.5,412,1.0540339,10.57286908,0,0,0
04:58.5,420,0.55930407,8.271695321,0,0,0
04:59.5,433,2.117599485,12.29537221,0,0,0
05:00.5,430,5.059182211,13.83200061,0,0,0
05:01.5,434,0.079144628,16.08455498,0,0,0
05:03.5,438,3.189521526,18.36348498,0,0,0
05:04.5,441,1.583419869,65.76716553,0,0,0
05:05.5,443,0.451532736,34.69547917,0,0,0
05:06.5,450,1.141519115,27.36928686,0,0,0
05:07.5,454,1.141509096,37.63386358,0,0,0
05:08.5,462,2.023127697,13.85498075,0,0,0
05:09.5,472,1.042363166,7.699424929,0,0,0
05:10.5,481,4.546251842,9.075100289,0,0,0
05:11.5,498,1.830075699,8.48286825,0,0,0
05:12.5,506,1.722912386,5.985547674,0,0,0
05:13.5,510,2.025060652,7.137821327,0,0,0
05:14.5,517,6.90940936,5.621986365,0,0,0
05:15.5,535,0.750776626,9.98133532,0,0,0
05:16.5,533,3.679012099,11.87551706,0,0,0
05:17.5,562,5.256675499,9.771213866,0,0,0
05:18.5,580,6.227685689,9.637874989,0,0,0
05:19.5,602,39.8153525,9.71962548,0,0,0
05:20.5,625,13.02285213,10.1446248,0,0,0
05:21.5,640,34.35873544,22.70373292,0,0,0
05:22.5,668,14.96233588,18.08496646,0,0,0
05:23.5,718,29.60791407,24.38367254,0,0,0
05:24.5,791,35.20009193,23.94188255,0,0,0
05:25.5,813,14.54982988,16.80784515,0,0,0
05:26.5,823,1.420396031,12.74975623,0,0,0
05:28.5,841,8.289730654,10.66141268,0,0,0
05:29.5,852,1.409361386,20.49437153,0,0,0
05:30.5,859,1.433497573,22.53837271,0,0,0
05:31.5,863,0.750766607,20.85430615,0,0,0
05:32.5,868,1.141519115,21.34941473,0,0,0
05:33.5,874,2.315305249,20.63834734,0,0,0
05:34.5,879,1.433497573,25.19264611,0,0,0
05:35.5,882,2.509119088,14.52168309,0,0,0
05:36.5,892,1.059804822,6.503763235,0,0,0
05:37.5,894,1.109735916,11.09490899,0,0,0
05:38.5,902,1.433497573,29.06821245,0,0,0
05:39.5,905,2.097775455,34.84667042,0,0,0
05:40.5,911,0,22.72200516,0,0,0
05:41.5,919,1.827369711,7.326638164,0,0,0
05:42.5,923,2.216941143,14.4775542,0,0,0
05:43.5,927,2.509131557,40.21090842,0,0,0
05:44.5,935,2.998045231,47.14407108,0,0,0
05:45.5,945,0.836727629,35.3766237,0,0,0
05:46.5,953,1.738442757,44.01287373,0,0,0
05:47.5,956,2.703711665,32.62961166,0,0,0
05:48.5,922,11.49764456,17.39612362,0,0,0
05:49.5,927,1.048226846,10.44792691,0,0,0
05:50.5,933,0,13.86742039,0,0,0
05:51.5,928,1.63780047,24.77814767,0,0,0
05:52.5,930,0,27.7780736,0,0,0
05:53.5,1041,23.9474162,11.33992599,0,0,0
05:54.5,1082,7.44659397,14.42023272,0,0,0
05:55.5,1080,2.706072827,13.88897572,0,0,0
05:56.5,1077,0.771665408,16.11834452,0,0,0
05:57.5,1065,7.207482063,10.25662099,0,0,0
05:58.5,1050,3.194987034,22.96495133,0,0,0
05:59.5,1093,8.473957018,18.95320707,0,0,0
06:00.5,1085,2.509124088,11.95528502,0,0,0
06:01.5,1116,3.489922638,20.10124212,0,0,0
06:02.5,1118,2.509124088,48.22852221,0,0,0
06:03.5,1112,2.312967898,52.72094094,0,0,0
06:04.5,1085,4.443464384,67.50297328,0,0,0
06:05.5,1076,1.72919708,36.76107084,0,0,0
06:06.5,1068,1.819100193,48.94136,0,0,0
06:07.5,1062,5.604072529,23.01005382,0,0,0
06:08.5,1058,3.289051095,48.39721832,0,0,0
06:09.5,1056,1.042353137,14.28188987,0,0,0
06:10.5,1058,3.389189667,11.10722528,0,0,0
06:11.5,1051,1.630827908,17.88932017,0,0,0
06:12.5,1035,2.899080092,8.43751312,0,0,0
06:13.5,1025,1.433497573,9.403455351,0,0,0
06:14.5,1021,3.186821338,31.2462258,0,0,0
06:15.5,1012,0,10.9048439,0,0,0
06:16.5,1009,2.509124088,12.51194312,0,0,0
06:17.5,1002,3.292180822,5.794676344,0,0,0
06:18.5,966,35.37747178,10.54944038,0,0,0
06:19.5,999,73.07783866,11.3570327,0,0,0
06:20.5,1007,6.084109131,28.07767325,0,0,0
06:21.5,1008,49.03447279,23.34237981,0,0,0
06:22.5,1006,7.378701477,16.08309653,0,0,0
06:23.5,1003,2.41114582,10.5015631,0,0,0
06:24.5,1002,2.220399875,10.48952137,0,0,0
06:25.5,995,4.068983102,11.09303241,0,0,0
06:26.5,1001,2.509119088,12.39265135,0,0,0
06:27.5,997,2.996093997,5.61957339,0,0,0
06:28.5,999,1.918272819,23.02295413,0,0,0
06:29.5,990,4.451168429,24.1511691,0,0,0
06:30.5,995,1.827369711,17.08243349,0,0,0
06:31.5,1001,1.528328053,3.772593959,0,0,0
06:32.5,998,1.042363166,9.658502858,0,0,0
06:33.5,1000,2.895990163,7.130212775,0,0,0
06:34.5,1002,11.46136648,63.83040319,0,0,0
06:35.5,997,1.72919708,11.08332256,0,0,0
06:36.5,1000,0.658645424,7.804715698,0,0,0
06:37.5,997,1.6378104,8.068679517,0,0,0
06:38.5,996,2.606127447,14.36215394,0,0,0
06:39.5,992,4.753658768,9.071344491,0,0,0
06:40.5,993,0.949275072,5.625038487,0,0,0
06:41.5,997,3.385665429,6.390341288,0,0,0
06:42.5,999,2.410747825,10.98723686,0,0,0
06:43.5,998,1.735382017,9.910975178,0,0,0
06:44.5,994,3.396303443,8.522088234,0,0,0
06:45.5,997,1.339236076,26.36559675,0,0,0
06:46.5,993,2.314529026,15.74047739,0,0,0
06:47.5,1003,3.090575634,28.39339041,0,0,0
06:48.5,998,6.047106983,11.65564263,0,0,0
06:49.5,999,1.255532211,13.46555593,0,0,0
06:50.5,995,0.836727629,14.32850645,0,0,0
06:51.5,1005,1.53615377,10.74008433,0,0,0
06:52.5,1001,1.735391937,10.54151464,0,0,0
06:53.5,948,6.92714213,11.6332049,0,0,0
06:54.5,948,2.60730221,9.86409055,0,0,0
06:55.5,947,3.090575634,11.45501897,0,0,0
06:56.5,949,3.882237531,15.63073111,0,0,0
06:57.5,951,1.240476553,12.82535962,0,0,0
06:58.5,950,1.830075699,9.474363163,0,0,0
06:59.5,956,2.606137396,11.9419169,0,0,0
07:00.5,981,2.509121598,3.734974887,0,0,0
07:01.5,664,89.7585292,8.116104466,1,0,0
07:02.5,587,23.47594775,26.93382097,0,0,0
07:03.5,600,41.60345774,59.0120533,0,0,0
07:04.5,618,39.91615749,52.89545963,0,0,0
07:05.5,650,16.38056635,33.27610198,0,0,0
07:06.5,783,78.59482515,11.64686294,0,0,0
07:07.5,874,70.90997553,13.86086415,0,0,0
07:08.5,1055,36.49944696,12.2047531,0,0,0
07:09.5,1013,7.486138273,42.93361991,0,0,0
07:10.5,1008,1.339236076,25.45900021,0,0,0
07:11.5,870,37.02695929,16.43741006,0,0,0
07:12.5,597,77.38211179,8.76884674,0,0,0
07:13.5,597,3.961321842,13.62547679,0,0,0
07:14.5,595,22.94603037,37.35084061,0,0,0
07:15.5,582,36.88901839,25.61704524,0,0,0
07:16.5,676,59.91393875,15.28347698,0,0,0
07:17.5,854,94.15054495,22.31234361,1,0,0
07:18.5,1008,85.84809866,69.06676465,1,0,0
07:19.5,744,76.9691199,54.95250395,0,0,0
07:20.5,559,95.36677025,37.85783604,1,0,0
07:21.5,539,19.72496999,16.15034509,0,0,0
07:22.5,696,97.2675205,28.12471643,1,0,0
07:23.5,869,94.95067426,14.28772413,1,0,0
07:24.5,921,42.5153401,28.21926909,0,0,0
07:25.5,919,2.797276923,28.15205117,0,0,0
07:26.5,915,1.520375346,26.14406454,0,0,0
07:27.5,910,4.087921167,33.25035037,0,0,0
07:28.5,903,11.44255096,15.25292866,0,0,0
07:29.5,896,7.721505077,14.58917996,0,0,0
07:30.5,670,69.5464632,88.02405234,0,0,0
07:31.5,502,61.58568223,45.98837346,0,0,0
07:32.5,497,71.78658745,36.77220125,0,0,0
07:33.5,645,74.34450887,12.02755546,0,0,0
07:34.5,792,97.12998341,9.100202933,1,0,0
07:35.5,901,48.23117253,12.6789545,0,0,0
07:36.5,898,7.466292254,11.84022768,0,0,0
07:37.5,894,1.146971131,52.42241118,0,0,0
07:38.5,891,1.536163749,29.95031973,0,0,0
07:39.5,871,27.63967334,10.9026378,0,0,0
07:40.5,657,60.26345417,53.60815794,0,0,0
07:41.5,560,82.96627586,49.04945729,1,0,0
07:42.5,663,74.34450634,49.10066028,0,0,0
07:43.5,825,96.88029197,32.60699596,1,0,0
07:44.5,1015,80.89179082,36.88743862,1,0,0
07:45.5,759,47.64017586,54.39093128,0,0,0
07:46.5,500,96.1504047,64.25786086,1,0,0
07:47.5,576,89.40742747,38.39708798,1,0,0
07:48.5,720,96.12362819,48.86093977,1,0,0
07:49.5,898,74.84106428,47.19598088,0,0,0
07:50.5,662,69.94275547,66.69734078,0,0,0
07:51.5,497,97.29728017,12.01935712,1,0,0
07:52.5,480,21.3060612,104.3440239,0,0,0
07:53.5,606,68.81871529,16.90037503,0,0,0
07:54.5,764,97.67416896,20.94212757,1,0,0
07:55.5,822,82.46917566,44.30267684,1,0,0
07:56.5,479,98.43702003,54.77245258,1,0,0
07:57.5,403,85.93318023,15.73353113,1,0,0
07:58.5,451,98.43073037,24.1786551,1,0,0
07:59.5,518,99.60964864,6.715594685,1,0,0
08:00.5,681,98.83939185,11.3735416,1,0,0
08:01.5,816,81.3191136,19.69890192,1,0,0
08:02.5,709,63.1962105,34.50275566,0,0,0
08:03.5,402,82.34571915,93.25179376,1,0,0
08:04.5,413,82.5909175,36.9715575,1,0,0
08:05.5,556,96.87090468,35.46470863,1,0,0
08:06.5,786,92.17726171,0,1,0,1
08:07.5,617,79.08834737,0,0,0,1
08:08.5,426,74.67769707,0,0,0,1
08:09.5,494,88.67974063,0,1,0,1
08:10.5,656,93.34399893,0,1,0,1
08:11.5,836,89.09192997,0,1,0,1
08:12.5,511,98.83010699,0,1,0,1
08:13.5,453,89.1245238,0,1,0,1
08:14.5,632,96.8896231,0,1,0,1
08:15.5,829,95.32511284,0,1,0,1
08:16.5,708,66.65302283,0,0,0,1
08:17.5,506,66.26069787,0,0,0,1
08:18.5,402,93.04327248,0,1,0,1
08:19.5,571,97.64609052,0,1,0,1
08:20.5,718,94.57846668,0,1,0,1
08:21.5,842,33.30603559,0,0,0,1
08:22.5,668,69.00692225,0,0,0,1
08:23.5,477,91.03084692,0,1,0,1
08:24.5,548,71.20029514,0,0,0,1
08:26.5,691,99.21929729,0,1,0,1
08:28.5,730,65.0778952,0,0,0,1
08:30.5,566,33.8350199,0,0,0,1
08:32.5,398,53.18870926,0,0,0,1
08:34.5,504,37.72224768,0,0,0,1
08:35.5,616,93.36398192,0,1,0,1
08:36.5,333,88.26589758,0,1,1,1
08:37.5,318,8.839695451,0,0,1,1
08:38.5,317,1.923014111,0,0,1,1
08:39.5,315,52.2571543,2.484791224,0,1,0
08:41.5,423,84.11553957,1.273941096,1,0,0
08:43.5,557,94.74600444,8.221421342,1,0,0
08:45.5,285,80.12455951,18.81265836,1,1,0
08:47.5,611,95.41709291,34.9409659,1,0,0
08:49.5,520,38.46768136,35.68941044,0,0,0
08:51.5,408,91.82764184,75.64067404,1,0,0
08:52.5,723,91.14210463,69.7936294,1,0,0
08:53.5,597,22.31957985,127.7256039,0,0,0
