(PDH-CSV 4.0) (India Standard Time)(-330),Available MBytes,Processor Time,KBytes Total,HighCPU,HighRAM,NoNetwork
04:06.7,2169,0.00256402,1.521432014,0,0,0
04:07.7,2168,1.955646454,1.547483215,0,0,0
04:08.7,2170,1.565023958,1.408568709,0,0,0
04:09.7,2161,2.346248918,2.191208588,0,0,0
04:10.7,2138,14.84593843,1.31476816,0,0,0
04:11.7,2106,17.58023581,1.905435336,0,0,0
04:12.6,2086,10.5491711,1.195333388,0,0,0
04:13.6,2080,10.1585486,0.999632725,0,0,0
04:14.6,2052,13.67409097,30.99947546,0,0,0
04:15.7,2037,28.84798071,70.1036847,0,0,0
04:16.7,2029,8.596088667,159.8347275,0,0,0
04:17.7,2029,2.346258934,118.6987346,0,0,0
04:18.7,2028,1.565023958,55.45377939,0,0,0
04:19.7,2029,3.127483895,20.86266913,0,0,0
04:20.7,2026,2.346248918,40.40566086,0,0,0
04:21.7,2014,6.252403769,25.44079267,0,0,0
04:22.6,1974,7.814863706,20.9873876,0,0,0
04:23.6,1968,1.565023958,8.631237396,0,0,0
04:24.6,1945,8.986711163,7.123435389,0,0,0
04:25.6,1933,5.848404341,0.935347943,0,0,0
04:26.6,1928,3.174645478,2.69774295,0,0,0
04:27.6,1897,24.08308654,15.92163743,0,0,0
04:28.6,1833,48.43882207,4.575400226,0,0,0
04:29.6,1809,40.23590991,17.76815066,0,0,0
04:30.6,1750,35.54852008,31.07631254,0,0,0
04:31.6,1706,38.67344997,191.5297488,0,0,0
04:32.6,1575,67.89064307,164.8316621,0,0,0
04:33.6,1421,75.55334456,47.60610998,0,0,0
04:34.7,1225,64.18202075,116.5383509,0,0,0
04:35.6,1213,18.34418564,53.33634179,0,0,0
04:36.6,1184,12.71940314,127.8717289,0,0,0
04:37.6,1179,14.50667408,109.6977812,0,0,0
04:38.6,1143,18.872235,82.10154368,0,0,0
04:39.6,1122,9.437905058,86.82133881,0,0,0
04:40.6,1114,11.86825317,90.61918983,0,0,0
04:41.6,1124,23.03351649,28.31247675,0,0,0
04:42.6,1099,24.49767561,26.88295283,0,0,0
04:43.6,1090,14.94406334,125.6862341,0,0,0
04:44.6,1085,17.21013415,269.9721954,0,0,0
04:45.6,1073,4.771773075,150.8136483,0,0,0
04:46.6,1032,27.58374609,93.67151093,0,0,0
